1,odpt.TrainType:TokyoMetro.Local,"各停",,"各停",Local,,Local,"2015-01-29 02:16:13.554141","2015-01-29 02:16:13.554141"
2,odpt.TrainType:TokyoMetro.LimitedExpress,"特急",,"特急","Limited Express",,"Limited Express","2015-01-29 02:16:13.735146","2015-01-29 02:16:13.735146"
3,odpt.TrainType:TokyoMetro.Express,"急行",,"急行",Express,,Express,"2015-01-29 02:16:13.958153","2015-01-29 02:16:13.958153"
4,odpt.TrainType:TokyoMetro.HolidayExpress,"土休急行","急行","急行","Express (Holiday)",Express,Express,"2015-01-29 02:16:14.220161","2015-01-29 02:16:14.220161"
5,odpt.TrainType:TokyoMetro.SemiExpress,"準急",,"準急","Semi Express",,"Semi Express","2015-01-29 02:16:14.484169","2015-01-29 02:16:14.484169"
6,odpt.TrainType:TokyoMetro.Rapid,"快速",,"快速",Rapid,,Rapid,"2015-01-29 02:16:14.662174","2015-01-29 02:16:14.662174"
7,odpt.TrainType:TokyoMetro.CommuterRapid,"通勤快速",,"通勤快速","Commuter Rapid",,"Commuter Rapid","2015-01-29 02:16:14.880181","2015-01-29 02:16:14.880181"
8,odpt.TrainType:TokyoMetro.ToyoRapid,"東葉快速",,"東葉快速","Toyo Rapid",,"Toyo Rapid","2015-01-29 02:16:15.023185","2015-01-29 02:16:15.023185"
9,odpt.TrainType:TokyoMetro.TamaExpress,"多摩急行",,"多摩急行","Tama Express",,"Tama Express","2015-01-29 02:16:15.257193","2015-01-29 02:16:15.257193"
10,odpt.TrainType:TokyoMetro.RomanceCar,"特急ロマンスカー","特急","特急","Romance Car (Limited Express)","Limited Express ""Romance Car""","Limited Express ""Romance Car""","2015-01-29 02:16:15.453199","2015-01-29 02:16:15.453199"
11,odpt.TrainType:TokyoMetro.RapidExpress,"快速急行",,"快速急行","Rapid Express",,"Rapid Express","2015-01-29 02:16:15.685206","2015-01-29 02:16:15.685206"
12,odpt.TrainType:TokyoMetro.CommuterLimitedExpress,"通勤特急",,"通勤特急","Commuter Ltd. Exp.",,"Commuter Ltd. Exp.","2015-01-29 02:16:15.926213","2015-01-29 02:16:15.926213"
13,odpt.TrainType:TokyoMetro.CommuterExpress,"通勤急行",,"通勤急行","Commuter Express",,"Commuter Express","2015-01-29 02:16:16.157220","2015-01-29 02:16:16.157220"
14,odpt.TrainType:TokyoMetro.CommuterSemiExpress,"通勤準急",,"通勤準急","Commuter Semi Express",,"Commuter Semi Express","2015-01-29 02:16:16.465229","2015-01-29 02:16:16.465229"
15,odpt.TrainType:TokyoMetro.Unknown,"不明",,"不明",Unknown,,Unknown,"2015-01-29 02:16:16.751238","2015-01-29 02:16:16.751238"
16,odpt.TrainType:TokyoMetro.Extra,"臨時",,"臨時",Extra,,Extra,"2015-01-29 02:16:17.004246","2015-01-29 02:16:17.004246"
17,odpt.TrainType:Toei.AirportLimitedExpress,"エアポート快特",,"エアポート快特","Airport Limited Express",,"Airport Limited Express","2015-01-29 02:16:17.194252","2015-01-29 02:16:17.194252"
